[06/03/2017][15:08:38]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:38]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:38]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:38]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:39] IP: 187.110.69.50 BIKINHO etc,msg_attack attacker:2 name:lH2O target:5756 name:Tauron dam:19528 x:1153 y:1696 
[06/03/2017][15:08:39] IP: 189.13.226.146 WELMAL adm +allsummon 
[06/03/2017][15:08:46]  -system err,No empty mobgrid(1): 5841 3426 1460 
[06/03/2017][15:08:52] IP: 189.13.226.146 WELMAL etc,reqteleport char:CRAZY X:1239 Y:1966 price:0 
[06/03/2017][15:08:53] IP: 187.4.213.191 DANODANO1 etc,reqteleport char:Cavalinho X:2118 Y:2100 price:0 
[06/03/2017][15:08:53]  DANODANO1 etc,changecity city:0 X:2118 Y:2100 
[06/03/2017][15:08:54]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:55]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:55]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:55] IP: 201.17.211.212 BADFIVE123 etc,reqteleport char:-OlhaOTchan X:1063 Y:2129 price:0 
[06/03/2017][15:08:55]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:55]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:55]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:55]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:56]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:56]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:56]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:56]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:56]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:56]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:56]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:56]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:57]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:57]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:57]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:57]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:57]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:57]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:57]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:57]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:57]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:58]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:58]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:58]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:58]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:58]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:58]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:58]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:58]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:58]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:59]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:59]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:59]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:59]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:59]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:59]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:59]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:59]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:08:59]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:09:00]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:09:00]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:09:00]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:09:00]  -system etc,nightmare_arcan clear -15:9 
[06/03/2017][15:09:00]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:09:00]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:09:00]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:09:00]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:09:00]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:09:01]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
[06/03/2017][15:09:01]  KNUT etc,applybonus name:-Malevola- bonustype:1 special2 
