[06/03/2017][15:01:50]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:50]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:50]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:50]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:50]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:50]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:50]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:50]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:51]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:51]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:51]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:51]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:51]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:51]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:51]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:51]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:51]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:51]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:51]  ZAYCO2808 etc,applybonus name:Support bonustype:0 detail:1 pontos:100 
[06/03/2017][15:01:52]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:53] IP: 177.195.42.128 JLFDS157 etc,motion motion:27 parm:0 notused:0 
[06/03/2017][15:01:53]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:1 pontos:1 
[06/03/2017][15:01:54]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:1 pontos:1 
[06/03/2017][15:01:54]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:1 pontos:1 
[06/03/2017][15:01:54] IP: 187.15.146.82 MATANZA etc,reqteleport char:Banguela X:3251 Y:1703 price:0 
[06/03/2017][15:01:54]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:1 pontos:1 
[06/03/2017][15:01:54]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:1 pontos:1 
[06/03/2017][15:01:54]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:1 pontos:1 
[06/03/2017][15:01:54]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:1 pontos:1 
[06/03/2017][15:01:54]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:1 pontos:1 
